                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6456,                 2.8565,                 1.9723,                0.27594,                    0.4,                 0.2986,                0.14785,                 1.5854,                 2.2641,                  2.291,             0.00055245,             0.00055245,             0.00055245
                      2,                 1.6979,                 2.6449,                   1.97,                0.30169,                0.47355,                0.39336,                0.20819,                 1.5941,                 2.6746,                 2.5505,              0.0010944,              0.0010944,              0.0010944
                      3,                 1.7087,                 2.5988,                 1.9983,                0.38975,                    0.5,                0.41657,                0.20847,                 1.7006,                 3.4064,                   2.33,              0.0016226,              0.0016226,              0.0016226
                      4,                 1.7129,                 2.4611,                 1.9866,                0.56506,                0.29167,                0.27657,                0.15219,                 1.8231,                 3.3605,                  2.505,              0.0016051,              0.0016051,              0.0016051
                      5,                 1.7795,                 2.4237,                 2.0029,                0.43792,                0.59988,                0.46723,                0.17455,                  1.657,                 2.3333,                 2.4953,              0.0016051,              0.0016051,              0.0016051
                      6,                 1.6939,                 2.3395,                 1.9582,                0.25244,                  0.425,                0.30676,                0.13085,                  1.709,                 2.4865,                 2.3969,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.7246,                  2.392,                 2.0001,                0.39621,                0.55833,                0.36054,                0.12972,                 1.8997,                  2.462,                 2.3788,              0.0015639,              0.0015639,              0.0015639
                      8,                 1.7167,                 2.3912,                 1.9688,                 0.6803,                0.54167,                0.60603,                0.37829,                 1.3381,                 1.9854,                  2.079,              0.0015432,              0.0015432,              0.0015432
                      9,                  1.712,                 2.3289,                 1.9876,                0.50599,                  0.475,                0.43032,                0.22446,                 1.5719,                 1.9495,                  2.191,              0.0015226,              0.0015226,              0.0015226
                     10,                 1.6633,                 2.2172,                 1.9732,                0.55578,                0.53799,                0.50437,                 0.2534,                 1.5199,                 2.0171,                 2.2201,               0.001502,               0.001502,               0.001502
                     11,                  1.647,                 2.2099,                 1.9413,                 0.5548,                 0.5691,                0.50513,                0.22934,                 1.8175,                 1.9451,                 2.3629,              0.0014813,              0.0014813,              0.0014813
                     12,                 1.7188,                 2.1983,                  1.946,                0.37782,                0.60832,                0.47163,                0.27356,                 1.4788,                 1.8814,                 2.1538,              0.0014607,              0.0014607,              0.0014607
                     13,                 1.6303,                 2.0986,                 1.8992,                0.54522,                0.65386,                0.58484,                0.29283,                 1.7194,                  1.852,                 2.3898,              0.0014401,              0.0014401,              0.0014401
                     14,                 1.6009,                 2.0536,                 1.8823,                0.62596,                0.48756,                0.56664,                0.28527,                 1.4952,                 1.7254,                 2.0702,              0.0014195,              0.0014195,              0.0014195
                     15,                 1.5825,                 2.1013,                  1.869,                0.59057,                0.68838,                0.62815,                0.36163,                 1.3941,                 1.5573,                 1.9961,              0.0013988,              0.0013988,              0.0013988
                     16,                  1.588,                 2.0284,                 1.8502,                0.84084,                0.55833,                0.73176,                0.39986,                  1.471,                 1.7214,                 2.0667,              0.0013782,              0.0013782,              0.0013782
                     17,                 1.5605,                 2.0657,                 1.8296,                0.54045,                0.57581,                0.59221,                0.33202,                 1.5255,                 1.7209,                 2.1544,              0.0013576,              0.0013576,              0.0013576
                     18,                 1.5504,                 1.9732,                  1.815,                0.74302,                    0.5,                0.58325,                0.37278,                 1.2616,                 1.6447,                 1.8575,              0.0013369,              0.0013369,              0.0013369
                     19,                 1.5186,                 1.9271,                  1.804,                0.71026,                0.54167,                0.62509,                0.31629,                 1.4257,                 1.6341,                 1.9953,              0.0013163,              0.0013163,              0.0013163
                     20,                 1.4976,                 1.9313,                 1.7852,                0.64501,                0.68898,                0.70524,                0.42317,                 1.3262,                  1.604,                  1.938,              0.0012957,              0.0012957,              0.0012957
                     21,                 1.5681,                 1.9276,                 1.8057,                0.60676,                0.60833,                0.69207,                0.42856,                 1.3115,                 1.4254,                 1.9327,               0.001275,               0.001275,               0.001275
                     22,                 1.5334,                 1.8628,                 1.8085,                0.74626,                0.69167,                0.73171,                 0.4964,                 1.2901,                 1.6151,                 1.9028,              0.0012544,              0.0012544,              0.0012544
                     23,                 1.5079,                 1.8768,                 1.7969,                0.64375,                0.75043,                0.70285,                0.43993,                 1.3557,                 1.4407,                  1.891,              0.0012338,              0.0012338,              0.0012338
                     24,                 1.4953,                 1.9085,                 1.7763,                0.70323,                0.71032,                0.77832,                0.47118,                 1.3271,                 1.3292,                 1.8658,              0.0012132,              0.0012132,              0.0012132
                     25,                  1.429,                 1.7911,                 1.7297,                0.62892,                0.72444,                0.74862,                0.47732,                 1.3373,                 1.5582,                 1.8985,              0.0011925,              0.0011925,              0.0011925
                     26,                 1.4281,                 1.7828,                 1.7205,                0.72112,                0.62609,                0.71612,                0.41137,                 1.4562,                 1.5417,                 1.9693,              0.0011719,              0.0011719,              0.0011719
                     27,                 1.4562,                 1.8488,                 1.7318,                0.75034,                0.64325,                0.75135,                0.51533,                  1.282,                 1.3354,                 1.9228,              0.0011513,              0.0011513,              0.0011513
                     28,                 1.4732,                 1.8087,                  1.745,                0.71758,                0.72208,                0.75377,                0.47032,                 1.3378,                 1.3338,                   1.93,              0.0011306,              0.0011306,              0.0011306
                     29,                 1.4451,                  1.776,                 1.7304,                0.76558,                0.75833,                 0.7736,                0.45717,                 1.4056,                 1.2732,                 1.9888,                0.00111,                0.00111,                0.00111
                     30,                  1.436,                 1.8195,                  1.736,                0.70423,                0.70972,                0.81291,                0.50224,                 1.3503,                 1.3359,                 1.9851,              0.0010894,              0.0010894,              0.0010894
                     31,                 1.4447,                 1.7358,                 1.7141,                0.67871,                0.65636,                0.70899,                0.39625,                 1.4559,                 1.3737,                  1.978,              0.0010688,              0.0010688,              0.0010688
                     32,                 1.4241,                 1.7743,                 1.7011,                0.82094,                0.59167,                0.73755,                0.48201,                 1.3105,                 1.3889,                 1.9286,              0.0010481,              0.0010481,              0.0010481
                     33,                  1.432,                 1.7071,                 1.7437,                0.67311,                0.70833,                 0.7051,                0.42635,                 1.2691,                 1.3601,                  1.879,              0.0010275,              0.0010275,              0.0010275
                     34,                 1.4385,                 1.7649,                 1.7097,                 0.7626,                 0.7071,                0.76033,                0.52971,                 1.2154,                 1.2568,                 1.8549,              0.0010069,              0.0010069,              0.0010069
                     35,                 1.3894,                 1.7049,                 1.7161,                 0.8557,                0.73694,                0.79069,                0.54189,                 1.2482,                 1.2371,                 1.8241,             0.00098624,             0.00098624,             0.00098624
                     36,                 1.4013,                 1.7073,                 1.7124,                0.72066,                0.74462,                0.76161,                0.51048,                 1.2984,                 1.2011,                 1.8281,             0.00096561,             0.00096561,             0.00096561
                     37,                 1.3819,                  1.638,                 1.6708,                0.74378,                 0.6512,                0.74328,                0.48894,                 1.1938,                 1.2663,                  1.781,             0.00094498,             0.00094498,             0.00094498
                     38,                 1.3257,                  1.555,                 1.6578,                0.77361,                 0.7224,                0.78143,                0.51612,                 1.1711,                 1.2753,                 1.7607,             0.00092435,             0.00092435,             0.00092435
                     39,                 1.3633,                 1.6333,                 1.6545,                 0.8475,                0.74167,                0.79477,                 0.4525,                 1.3871,                 1.2445,                 1.9165,             0.00090372,             0.00090372,             0.00090372
                     40,                  1.365,                 1.6262,                 1.6753,                0.77479,                0.72935,                0.80642,                0.49683,                 1.2762,                 1.2357,                 1.8057,             0.00088309,             0.00088309,             0.00088309
                     41,                 1.3633,                 1.6185,                 1.6814,                0.80886,                0.79506,                0.81331,                0.56705,                 1.1557,                 1.1585,                 1.7121,             0.00086246,             0.00086246,             0.00086246
                     42,                 1.3449,                 1.5678,                 1.6661,                0.86231,                0.78493,                0.84919,                0.51689,                  1.197,                 1.1804,                 1.7565,             0.00084184,             0.00084184,             0.00084184
                     43,                 1.3645,                 1.6157,                  1.682,                0.83922,                0.74167,                0.83465,                0.51911,                 1.2576,                 1.2072,                 1.8337,             0.00082121,             0.00082121,             0.00082121
                     44,                 1.3413,                 1.6328,                 1.6527,                0.78766,                0.77483,                0.80477,                0.56381,                 1.1861,                 1.1893,                 1.7793,             0.00080058,             0.00080058,             0.00080058
                     45,                 1.3917,                 1.5641,                  1.704,                0.87242,                0.72761,                0.82039,                0.54658,                 1.2416,                 1.1682,                 1.8382,             0.00077995,             0.00077995,             0.00077995
                     46,                 1.3416,                 1.6183,                 1.6568,                0.73578,                0.78291,                0.85576,                 0.5603,                 1.2248,                 1.1734,                   1.78,             0.00075932,             0.00075932,             0.00075932
                     47,                 1.3386,                 1.5729,                  1.673,                0.89764,                0.74483,                0.88802,                0.56509,                  1.234,                 1.0772,                 1.7592,             0.00073869,             0.00073869,             0.00073869
                     48,                 1.3397,                 1.5269,                 1.6386,                0.85071,                 0.7687,                 0.8282,                0.54039,                 1.2254,                 1.1128,                 1.7727,             0.00071806,             0.00071806,             0.00071806
