                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2793,                 2.1785,                 1.6769,                 0.5901,                0.33333,                0.72879,                0.36627,                 1.1058,                 2.5969,                 1.8725,               0.000659,               0.000659,               0.000659
                      2,                 1.3639,                 2.0094,                 1.6477,                0.73259,                0.73072,                0.84434,                0.50476,                  1.122,                 2.1026,                 2.0183,              0.0012994,              0.0012994,              0.0012994
                      3,                 1.3938,                 1.8872,                 1.7077,                0.69594,                0.66667,                0.74552,                0.42061,                 1.2282,                  2.963,                   2.41,              0.0019134,              0.0019134,              0.0019134
                      4,                 1.5007,                 1.7874,                  1.768,                0.69841,                    0.8,                0.77489,                0.47794,                 1.0961,                 1.8852,                 2.0364,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4352,                 1.6965,                 1.7328,                0.67289,                0.82365,                0.84263,                0.40057,                 1.3034,                 2.2415,                 2.2082,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.4408,                 1.7424,                 1.7676,                      1,                0.90563,                   0.96,                0.66612,                 1.0474,                 1.4216,                 1.7981,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.4862,                 1.8671,                 1.8156,                0.94356,                0.86667,                0.93907,                0.65268,                 1.0797,                 1.6894,                 2.0005,               0.001802,               0.001802,               0.001802
                      8,                 1.3685,                  1.442,                 1.6555,                0.73591,                0.92907,                0.90099,                 0.4119,                 1.6934,                 1.8865,                 2.8237,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.4089,                  1.516,                 1.7142,                0.98623,                      1,                  0.995,                 0.6325,                 1.2307,                 1.1671,                 2.0729,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.3476,                 1.6195,                 1.6102,                0.93717,                0.99468,                0.98688,                0.71292,                0.92229,                0.99461,                 1.6796,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.3788,                  1.392,                 1.6736,                0.85616,                0.79407,                  0.878,                0.52977,                 1.3671,                 1.4902,                 2.1121,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.3707,                 1.3936,                 1.6843,                0.98747,                0.93333,                0.99125,                 0.6616,                 1.1607,                 1.0842,                 1.9424,               0.001604,               0.001604,               0.001604
                     13,                 1.3332,                 1.3326,                 1.6234,                0.78328,                      1,                0.95607,                  0.657,                 1.1775,                 1.1025,                 1.9862,              0.0015644,              0.0015644,              0.0015644
