                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2793,                 2.1785,                 1.6769,                 0.5901,                0.33333,                0.72879,                0.36627,                 1.1058,                 2.5969,                 1.8725,               0.000659,               0.000659,               0.000659
                      2,                 1.3662,                 2.0285,                 1.6491,                0.90831,                0.66667,                0.85431,                0.50563,                 1.1899,                 2.1523,                  2.166,              0.0013125,              0.0013125,              0.0013125
                      3,                 1.4098,                 1.8575,                 1.7064,                0.76852,                0.73333,                0.81156,                0.48729,                 1.1672,                 2.3657,                 2.1364,              0.0019529,              0.0019529,              0.0019529
                      4,                 1.4828,                 1.7955,                 1.7665,                 0.6636,                    0.8,                0.79351,                0.43722,                 1.5534,                 2.4938,                 2.7078,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4413,                 1.6787,                 1.7375,                0.88591,                0.73333,                0.85625,                0.41038,                  1.625,                 2.3778,                 3.4122,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4966,                  1.733,                 1.8143,                0.97324,                    0.6,                0.72989,                0.45054,                 1.7815,                 1.8805,                 2.3759,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.486,                  1.912,                 1.8131,                      1,                0.58278,                0.83105,                 0.4551,                 1.4401,                 1.8401,                 2.1852,               0.001901,               0.001901,               0.001901
                      8,                 1.3684,                 1.5315,                 1.6401,                0.99305,                0.93333,                0.95695,                0.61842,                 1.1922,                 1.7347,                 1.9784,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3966,                 1.5389,                 1.6922,                0.86596,                      1,                0.96042,                0.67346,                 1.1116,                 1.4733,                 1.8541,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3663,                 1.6087,                  1.622,                0.93196,                0.91413,                0.97533,                0.66267,                 1.1213,                 1.0975,                 1.9181,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4139,                 1.3989,                 1.7172,                 0.9272,                   0.85,                0.95836,                0.61549,                 1.0735,                 1.4515,                 1.8534,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.4232,                 1.4388,                 1.7097,                 0.9314,                0.90623,                0.97533,                0.70855,                 1.1019,                 1.1235,                 1.8753,               0.001802,               0.001802,               0.001802
                     13,                 1.3209,                 1.3521,                 1.6455,                0.86502,                0.93333,                  0.935,                0.58491,                 1.2896,                 1.1541,                  2.022,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3336,                 1.3269,                 1.6533,                0.93691,                0.99053,                0.98688,                0.65133,                  1.307,                 1.1306,                 2.0285,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2976,                 1.2669,                 1.6238,                0.98417,                      1,                  0.995,                0.63617,                  1.292,                 1.1042,                 2.0841,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3884,                 1.3368,                 1.6762,                      1,                0.92485,                0.97786,                0.66757,                 1.1502,                 1.1316,                 1.9522,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.3289,                 1.2555,                 1.6212,                0.91448,                0.71412,                0.86767,                0.58471,                 1.1855,                 1.1547,                 2.0583,               0.001703,               0.001703,               0.001703
                     18,                 1.2666,                 1.2279,                 1.6096,                0.85509,                0.86667,                0.92254,                0.53772,                  1.468,                 1.1787,                  2.222,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2519,                 1.1994,                 1.5615,                0.99352,                0.86667,                0.93981,                 0.6024,                 1.2662,                 1.0018,                 2.0733,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2278,                 1.1228,                 1.5599,                0.99549,                0.93333,                0.94611,                  0.632,                 1.1675,                0.95059,                 1.8632,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2303,                 1.1953,                 1.5694,                0.92671,                0.84407,                0.91282,                0.61371,                 1.1215,                 1.1196,                 1.7975,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.2483,                  1.179,                 1.5143,                0.92671,                0.93333,                0.92583,                0.60165,                 1.2648,                 1.0477,                  1.944,               0.001604,               0.001604,               0.001604
                     23,                 1.2551,                 1.0988,                 1.5715,                0.86937,                 0.8883,                0.97971,                0.61017,                 1.2538,                 1.0938,                 1.9167,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.2478,                 1.0776,                 1.5414,                0.97189,                0.73333,                0.84554,                0.53033,                 1.4253,                  1.332,                 2.0368,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.2659,                 1.0611,                 1.5728,                0.98958,                    0.6,                 0.7278,                0.49007,                 1.3249,                 1.4189,                 2.0238,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.2645,                 1.0974,                 1.5987,                0.80353,                      1,                0.96833,                0.61722,                 1.2011,                0.97717,                 1.8949,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.2634,                 1.0846,                 1.5898,                0.98612,                      1,                  0.995,                0.70137,                 1.1178,                0.83869,                 1.8467,               0.001505,               0.001505,               0.001505
                     28,                 1.2928,                 1.1361,                 1.6073,                0.97122,                      1,                  0.995,                0.72395,                 1.1279,                0.66668,                 1.8437,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.2719,                  1.107,                 1.5659,                0.92757,                      1,                0.99125,                0.63248,                 1.2747,                 0.7462,                 1.9177,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.2216,                 1.0351,                 1.5398,                      1,                0.98023,                  0.995,                0.62862,                 1.2003,                0.70512,                 1.9147,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.1502,                0.98101,                 1.4654,                0.99569,                      1,                  0.995,                0.69944,                 1.0652,                0.70232,                 1.8147,              0.0014258,              0.0014258,              0.0014258
                     32,                  1.171,                 1.0463,                 1.5457,                      1,                0.92298,                0.99125,                0.72858,                0.94669,                0.71173,                 1.6602,               0.001406,               0.001406,               0.001406
                     33,                 1.1631,                0.98832,                  1.499,                      1,                0.92151,                0.99125,                0.71246,                 1.0773,                  0.652,                  1.854,              0.0013862,              0.0013862,              0.0013862
